"Country Name","Country Code","Year","average_value_Armed forces personnel (% of total labor force)","average_value_Armed forces personnel, total","average_value_Arms exports (SIPRI trend indicator values)","average_value_Arms imports (SIPRI trend indicator values)","average_value_Battle-related deaths (number of people)","average_value_CPIA building human resources rating (1=low to 6=high)","average_value_CPIA business regulatory environment rating (1=low to 6=high)","average_value_CPIA debt policy rating (1=low to 6=high)","average_value_CPIA economic management cluster average (1=low to 6=high)","average_value_CPIA efficiency of revenue mobilization rating (1=low to 6=high)","average_value_CPIA equity of public resource use rating (1=low to 6=high)","average_value_CPIA financial sector rating (1=low to 6=high)","average_value_CPIA fiscal policy rating (1=low to 6=high)","average_value_CPIA gender equality rating (1=low to 6=high)","average_value_CPIA macroeconomic management rating (1=low to 6=high)","average_value_CPIA policies for social inclusion/equity cluster average (1=low to 6=high)","average_value_CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)","average_value_CPIA property rights and rule-based governance rating (1=low to 6=high)","average_value_CPIA public sector management and institutions cluster average (1=low to 6=high)","average_value_CPIA quality of budgetary and financial management rating (1=low to 6=high)","average_value_CPIA quality of public administration rating (1=low to 6=high)","average_value_CPIA social protection rating (1=low to 6=high)","average_value_CPIA structural policies cluster average (1=low to 6=high)","average_value_CPIA trade rating (1=low to 6=high)","average_value_CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)","average_value_Expense (% of GDP)","average_value_IDA resource allocation index (1=low to 6=high)","average_value_Intentional homicides (per 100,000 people)","average_value_Intentional homicides, female (per 100,000 female)","average_value_Intentional homicides, male (per 100,000 male)","average_value_Internally displaced persons, new displacement associated with conflict and violence (number of cases)","average_value_Internally displaced persons, new displacement associated with disasters (number of cases)","average_value_Internally displaced persons, total displaced by conflict and violence (number of people)","average_value_Methodology assessment of statistical capacity (scale 0 - 100)","average_value_Military expenditure (% of GDP)","average_value_Military expenditure (% of general government expenditure)","average_value_Military expenditure (current USD)","average_value_Other expense (% of expense)","average_value_Periodicity and timeliness assessment of statistical capacity (scale 0 - 100)","average_value_Proportion of seats held by women in national parliaments (%)","average_value_Public credit registry coverage (% of adults)","average_value_Source data assessment of statistical capacity (scale 0 - 100)","average_value_Statistical Capacity score (Overall average)","average_value_Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100)","average_value_Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100)","average_value_Strength of legal rights index (0=weak to 12=strong)","average_value_Subsidies and other transfers (% of expense)","average_value_Tax payments (number)","average_value_Time to prepare and pay taxes (hours)","average_value_Total tax and contribution rate (% of profit)"
"Monaco","MCO","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9851637362","","","","","","","","","","","","20.8333333333333","","","","40","","","","","",""
"Madagascar","MDG","1998","0.405838318855348","28500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.34892749207597","6.76782656612314","50446576.2487595","","","","","","","","","","","","",""
"Myanmar","MMR","1995","1.76063475790798","371300","","223000000","317","","","","","","","","","","","","","","","","","","","","","","","3.6741259396","","","","","","","3.68483237946254","","3932079180.66574","","","","","","","","","","","","",""
"Middle East & North Africa (excluding high income)","MNA","1993","3.73795225665297","2417000","","2578000000","1319","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.24392007475602","10.4432014343267","9615943061.78234","","","","","","","","","","","","",""
"Netherlands","NLD","1974","","","83000000","40000000","","","","","","","","","","","","","","","","","","","","","","35.8493578103508","","","","","","","","","2.65347166146325","","2285358296.30965","","","","","","","","","","","","",""
"OECD members","OED","2008","1.03823111195412","6423342","16201000000","10252000000","","","","","","","","","","","","","","","","","","","","","","28.9712013594384","","","","","","","","","2.46884750190782","6.16769758656831","1132708732083.48","6.30534770464219","","22.38864800946","8.52857142857143","","","","","","50.9247842704183","15.0285714285714","214.2","44.3714285714286"
"Pakistan","PAK","1997","2.20877997455454","834000","","691000000","45","","","","","","","","","","","","","","","","","","","","","","","7.0991777101","","","","","","","5.6212164889017","25.0372807862256","3320238862.60535","","","2.30414746543779","","","","","","","","","",""
"Paraguay","PRY","2003","1.36684196892358","33400","","","","","","","","","","","","","","","","","","","","","","","","","","22.812069555","","","","","","","0.825755371784335","5.1003765391386","63511880.0569179","","","8.75","","","","","","","","","",""
"Paraguay","PRY","1976","","","","3000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.98995650695533","","46757936.5079365","","","","","","","","","","","","",""
"West Bank and Gaza","PSE","2019","","","","2000000","","","","","","","","","","","","","","","","","","","","","","","","","","","1500","2","243000","80","","","","","80","","22.9","70","76.6666666666667","80","55.68125","8","","28","174","15.3"
"Romania","ROU","1980","","","48000000","528000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.20454265465839","","755555555.555556","","","","","","","","","","","","",""
"Sudan","SDN","2004","1.40100277062771","121000","","293000000","3673","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","5.78262016066383","28.2012866837049","1240766949.07039","","66.66667","9.72222222222222","0","20","35.5555555555556","20","","","","","",""
"Sudan","SDN","1982","","","","90000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.44047619047619","","172214638.244251","","","","","","","","","","","","",""
"Singapore","SGP","1990","3.73321635922074","56000","44000000","523000000","","","","","","","","","","","","","","","","","","","","","","17.0656936998793","","1.5599236368","","","","","","","4.63214447298365","29.9166437666025","1801901209.91101","0","","","","","","","","","23.4081463009144","","",""
"Singapore","SGP","2011","4.77643315647155","147600","14000000","895000000","","","","","","","","","","","","","","","","","","","","","","12.7726522542327","","0.30397215615","0.23886367771","0.36340550203","","","","","3.19387456850782","32.6285107867651","8922267805.18056","","","22.2222222222222","0","","","60","36.925","","0.233516789589784","6","85.5","23.8"
"Singapore","SGP","1965","","","","1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Solomon Islands","SLB","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.04081632653061","","","","","","","","","",""
"Slovak Republic","SVK","1990","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7585476287","","","","","","","","","","","","","","","","","","","","","",""
"Thailand","THA","1974","","","","97000000","","","","","","","","","","","","","","","","","","","","","","10.3348851610215","","","","","","","","","2.65543855879087","","363887784.59983","","","","","","","","","","","","",""
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","1998","0.979043690500877","2019950","","816000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.39600900254023","4.58387085044972","30192020605.4271","","","12.9065040650407","","","","","","","","","",""
"Timor-Leste","TLS","2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.6225116316","","","","","","20","0.444864864864865","3.04814814814815","8230000","","26.66667","25.2873563218391","0","50","32.2222222222222","20","35.1125","","","15","640","48.9"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1969","","","21000000","4333000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.79530797660938","","2560708874.23702","","","","","","","","","","","","",""
"Tuvalu","TUV","2018","","","","","","3","2.5","2","2.66666666666667","3","3","2.5","3","3","3","2.9","3","3.5","3.1","3","2.5","2.5","2.83333333333333","3.5","3.5","","2.875","","","","","","","40","","","","","63.3333","6.66666666666667","","40","47.7777666666667","10","35.18125","","","","",""
"Upper middle income","UMC","1968","","","","3605000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.35120592393992","","","","","","","","","","","","","","",""
"St. Vincent and the Grenadines","VCT","1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.675776582","","","","","","","","","","","","","","","","","","","","","",""
"Venezuela, RB","VEN","2015","1.95643889140642","265000","","167000000","","","","","","","","","","","","","","","","","","","","","","","","52.038062715","4.8319036253","97.677997519","","45000","","70","0.941375968866619","","320539157.963524","","96.6667","16.969696969697","0","80","82.2222333333333","60","53.43125","1","","70","792","64.7"
"British Virgin Islands","VGB","2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","15.69375","","","","",""
"World","WLD","1970","","","","22892000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.97130128337","","","","","","","","","","","","","","",""
"Zimbabwe","ZWE","2019","","","","","","4","3","2","2.5","4","3.5","2.5","3","4","2.5","3.7","4","2","2.9","3","3","3","2.83333333333333","3","2.5","","2.98333333333333","","","","","52000","","30","0.698600973197018","2.09981571774101","546939000","","79.9999","31.8518518518519","8.8","60","56.6666333333333","90","70.2375","6","","51","242","31.6"
"United Arab Emirates","ARE","2014","0.958572621461802","63000","77000000","768000000","","","","","","","","","","","","","","","","","","","","","","3.8952818504979","","0.66202295548","0.61683169892","0.68025635911","","","","","5.64365135247024","17.0387678455648","22755071477.1954","12.4913193235631","","17.5","6.8","","","40","32.3625","2","23.8496329911113","4","12","14.8"
"Australia","AUS","2001","0.528085518393566","51700","43000000","1236000000","","","","","","","","","","","","","","","","","","","","","","26.2649170432272","","1.8077929526","1.2065549477","2.411581048","","","","","1.87009387891872","5.2337558515831","7043145895.39887","8.82306882306882","","","","","","","","","67.995247995248","","",""
"Australia","AUS","1974","","","92000000","885000000","","","","","","","","","","","","","","","","","","","","","","18.1709583222724","","","","","","","","","2.26280269948392","","2127274762.94236","","","","","","","","","","2.82140248356465","","",""
"Burundi","BDI","1996","0.844255569976123","22000","","","531","","","","","","","","","","","","","","","","","","","","","22.7156974534398","","","","","","","","","5.85688491874941","20.6014092604725","50893980.7826337","","","","","","","","","","14.3093783987284","","",""
"Benin","BEN","1998","0.284813805900562","7300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2289156626506","","","","","","","","","",""
"Bulgaria","BGR","2012","1.41527189078529","47300","13000000","5000000","","","","","","","","","","","","","","","","","","","","","","31.0926582207308","","1.9225506602","0.98309005397","2.9128682678","","2100","","90","1.33635532031811","4.08945449132991","722052494.990309","4.34655711505075","93.33333","22.9166666666667","56.3","90","91.1111111111111","60","64.1875","","43.8491274735024","14","436","27.8"
"Bahrain","BHR","2011","2.67698208100278","19460","","1000000","","","","","","","","","","","","","","","","","","","","","","","","0.54766526386","","","","","","","3.59149722735675","12.9403929403929","1033510638.29787","","","10","0","","","50","37.90625","","","13","27","13.5"
"Bermuda","BMU","1990","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6412276383","0","3.4490405097","","","","","","","","","","","","","","","","","","","",""
"Canada","CAN","1998","0.446944436723817","69950","38000000","130000000","","","","","","","","","","","","","","","","","","","","","","20.1743893660975","","1.8619630527","1.2241744707","2.5121860494","","","","","1.25629390156868","2.8155809481819","7748607984.03732","4.91704787402239","","20.5980066445183","","","","","","","55.3181061196956","","",""
"Comoros","COM","2007","","","","","","3","2.5","2","2","2.5","3","2.5","1.5","3","2.5","2.7","2","2.5","2.2","1.5","2","2.5","2.66666666666667","3","2.5","","2.39166666666667","","","","","","","30","","","","","76.66667","3.03030303030303","0","60","55.5555555555556","0","53.38125","","","33","100","217.9"
"East Asia & Pacific (excluding high income)","EAP","1988","","","","2027000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Early-demographic dividend","EAR","1963","","","","3846000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.90376215098858","","4584968644.83921","","","","","","","","","","","","",""
"Early-demographic dividend","EAR","1964","","","","4522000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.82197653218011","","5243448945.84167","","","","","","","","","","","","",""
"Ecuador","ECU","1994","1.23852086712105","57000","","9000000","","","","","","","","","","","","","","","","","","","","","","","","10.162384918","1.6596876169","18.580461734","","","","","1.55934346817278","","291000000","","","","","","","","","","","","",""
"Spain","ESP","2006","1.01352225875214","222000","841000000","315000000","","","","","","","","","","","","","","","","","","","","","","","","1.0641969904","0.70442469011","1.4330862593","","","","","1.37000746147478","3.56440840065625","17252217612.6934","","","36","44.9","","","40","54.25625","","","8","298","60.5"
"Ethiopia","ETH","1990","1.24846102209806","250000","","2000000","49698","","","","","","","","","","","","","","","","","","","","","16.0852482366578","","","","","","","","","9.6579698086295","30.7716341601969","785048309.178744","0.239275759145514","","","","","","","","","11.2015589925751","","",""
"Ethiopia","ETH","1972","","","","33000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.93641025641026","","41043478.2608696","","","","","","","","","","","","",""
"Guinea","GIN","2004","0.363935813633102","11000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","2.22856440980186","12.4167605778097","81018570.0979977","","90","19.2982456140351","0","70","66.6666666666667","20","","","","","",""
"Guam","GUM","2003","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0721835116","","","","","","","","","","","","","","","","","","","","","",""
"Guyana","GUY","2007","1.10060643414521","3000","","","","3.5","3","4","3.66666666666667","3.5","3.5","3.5","3.5","4","3.5","3.4","3","3","3.1","3.5","2.5","3","3.5","4","3","","3.41666666666667","15.405699037","7.4901758319","23.346052907","","","","40","1.43489175128922","4.4076726476566","24971954.1184203","","83.33333","28.9855072463768","0","40","54.4444444444444","20","56.04375","","","35","288","39"
"Hong Kong SAR, China","HKG","1997","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6190702346","","","","","","","","","","","","","","","","","","","","","",""
"IBRD only","IBD","1981","","","","21224000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.02217852149179","","","","","","","","","","","","","","",""
"IDA total","IDA","1973","","","","4129000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.33039423347929","","2935368241.75042","","","","","","","","","","","","",""
"IDA only","IDX","1984","","","","3120000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.19554449631584","","6001251356.46928","","","","","","","","","","","","",""
"Israel","ISR","1994","7.87800923984024","185000","296000000","755000000","44","","","","","","","","","","","","","","","","","","","","","","","2.7421026953","1.1400801422","4.3783916961","","","","","10.1199658353758","","7772187267.59513","6.45751843218855","","","","","","","","","43.0898050239593","","",""
"Israel","ISR","2009","5.40966763740717","184550","746000000","155000000","696","","","","","","","","","","","","","","","","","","","","","39.5204383321204","","2.0027713348","0.7416233641","3.2963549921","","","","","6.14811192852559","14.5926742761709","12754237934.6649","11.1683904516797","","18.3333333333333","0","","","40","41.15625","","35.4288098129818","28","234","28.3"
"Japan","JPN","1999","0.37533000404121","254600","","1270000000","","","","","","","","","","","","","","","","","","","","","","","","0.57804347567","0.52184232821","0.6362346063","","","","","0.94524833744442","2.61418011764875","43122898504.9207","","","4.6","","","","","","","","","",""
"Cambodia","KHM","1961","","","","2000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","KHM","1983","","","","13000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kuwait","KWT","1975","","","","77000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lebanon","LBN","1977","","","","8000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73228442492987","","126427193.576977","","","","","","","","","","","","",""
"Libya","LBY","1984","","","54000000","742000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"St. Lucia","LCA","2015","","","","","","4","4.5","2.5","3","4","4","3","3","3.5","3.5","3.7","3.5","4","3.7","2.5","3.5","3.5","3.83333","4","4.5","18.1883146469458","3.55833333333333","15.63101864","5.4993400792","26.073845666","","","","50","","","","0","53.3333","16.6666666666667","0","80","61.1111","60","56.225","5","21.954680601856","35","110","34.7"
"Sri Lanka","LKA","1976","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.659239148428964","","23669757.489301","","","","","","","","","","","","",""
"Macao SAR, China","MAC","1993","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5116627723","","","","","","","","","","","","","","","","","","","","","",""
"St. Martin (French part)","MAF","2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.730789496","","","","","","","","","","","","","","","","40","4.89375","","","","",""
"Morocco","MAR","2020","","","","7000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","340","","60","4.28102888137034","12.1873065221146","4830956393.51169","","80","20.5063291139241","","60","66.6666666666667","","","","","","",""
"Middle East & North Africa","MEA","1981","","","432000000","15465000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.74337581361229","","52423006078.1627","","","","","","","","","","","","",""
"Mexico","MEX","1992","0.547812221114668","175000","","19000000","","","","","","","","","","","","","","","","","","","","","","13.3620544020174","","19.057104889","3.6892146256","34.819098329","","","","","0.469454655731209","2.2432059873912","1824550066.238","","","","","","","","","","","","",""
"Malawi","MWI","2004","0.117406536569788","6000","","","","","","","","","","","","","","","","","","","","","","","","","","3.340964443","","","","","","60","0.631868059297767","2.62220188112517","21965738.5810575","","83.33333","13.9896373056995","0","60","67.7777777777778","20","","","","","",""
"Malaysia","MYS","1983","","","","271000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.42337175628868","","1342380183.09101","","","","","","","","","","","","",""
"Norway","NOR","1966","","","80000000","773000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.56795983067309","","272579890.968044","","","","","","","","","","","","",""
"Peru","PER","2016","0.928974490948437","158000","","223000000","","","","","","","","","","","","","","","","","","","","","","19.1880269352898","","7.8736246702","3.3259618886","12.484876174","","17000","62000","100","1.30478439857133","6.1950186267954","2536072334.8143","7.68953473768173","100","27.6923076923077","37.4","80","93.3333333333333","90","70.61875","7","44.0472931179891","8","260","35.6"
"Korea, Dem. People's Rep.","PRK","1985","","838000","57000000","1040000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West Bank and Gaza","PSE","2011","6.06697507123279","56000","","","","","","","","","","","","","","","","","","","","","","","","","","0.57836147303","0.15312736483","0.99127758333","1100","","160000","60","","","","","63.33333","","5.5","80","67.7777777777778","40","54.3625","","","39","170","16.5"
"Pacific island small states","PSS","1979","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.938856941673513","","","","","","","","","","","","","","",""
"Qatar","QAT","1984","","","","328000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.7339251439539","","874862637.362637","","","","","","","","","","","","",""
"Qatar","QAT","1996","3.87696230146996","11800","","201000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rwanda","RWA","2018","0.566426722912301","35000","","3000000","9","4","4.5","4","4","4","4.5","3.5","4","4.5","4","4.2","4","3.5","3.8","4","4","4","4.16666666666667","4.5","3.5","18.6796875279425","4.04166666666667","","","","","47000","","50","1.25174035173425","4.68238112620192","118959174.046815","7.16164659956705","96.6667","61.25","9.2","50","65.5555666666667","100","70.85625","11","35.1346306319799","9","95.5","33.2"
"Sierra Leone","SLE","2000","0.231607753983806","3800","","","382","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.51215561780176","15.3556236362434","23310804.3515668","","","8.75","","","","","","","","","",""
"El Salvador","SLV","2019","","","","6000000","","","","","","","","","","","","","","","","","","","","","","24.7450798723708","","","","","454000","1900","","90","1.17383053617263","4.65170846165127","317200000","12.362521786165","96.6667","30.952380952381","30.4","80","88.8889","90","69.15","9","19.7277480617826","7","168","36.4"
"San Marino","SMR","2009","","","","","","","","","","","","","","","","","","","","","","","","","","36.0723472554054","","0","0","0","","","","","","","","7.79616551346047","","16.6666666666667","","","","20","15.45625","","32.3869630616578","","",""
"Serbia","SRB","1996","4.35356945404978","151900","20000000","1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.51128589512011","","","","","","","","","","","","","","",""
"Serbia","SRB","1989","","225000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-Saharan Africa (excluding high income)","SSA","1994","0.498281335244025","1062000","","543000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.21163516716177","","6499487573.24145","","","","","","","","","","","","",""
"Sub-Saharan Africa","SSF","2002","0.619538154995233","1609550","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.68391947095464","7.580757083313","6573025593.49415","","","13.4667114996638","","","","","","","","","",""
"Small states","SST","1960","","","","20000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Suriname","SUR","1982","","","","2000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","SYC","2013","","840","","8000000","","","","","","","","","","","","","","","","","","","","","","27.6462639481181","","19.272567641","14.488466577","23.754760379","","1100","","70","1.03655893266994","2.7428949107733","13766451.3239843","8.81445404336114","66.6666666666667","43.75","0","60","65.5555555555556","0","54.60625","2","14.0094717227485","29","76","25.5"
"Syrian Arab Republic","SYR","2006","7.53607685370107","401000","3000000","100000000","","","","","","","","","","","","","","","","","","","","","","","","2.3400702346","","","","","","70","4.39444682311126","16.4799246873337","1435215692.28412","","73.33333","12","0","40","61.1111111111111","20","59.4375","","","20","336","43.5"
"East Asia & Pacific (IDA & IBRD countries)","TEA","1962","","","47000000","1702000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Togo","TGO","2011","0.415021826577998","9300","","","","3.5","2.5","3","3.16666666666667","3","3","2.5","3","3","3.5","3","2.5","3","2.8","3","2.5","3","3","4","2.5","15.1340545818901","2.99166666666667","","","","","","10000","50","1.52606374846498","5.98618720994968","59018874.0023651","1.91541748135274","83.33333","11.1111111111111","2.5","30","54.4444444444444","50","61.78125","","32.9350423636759","49","270","48.9"
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","2003","0.89291767185205","2062700","","544000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.14409509067523","4.10827293835646","21891400570.0188","10.0919305214027","","15.395809080326","","","","","","","34.0893107171579","","",""
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","1991","0.589228190113757","1148000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.69040241196273","","9358910887.81943","","","","","","","","","","","","",""
"Ukraine","UKR","1990","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9705516191","2.8272135784","7.4360238467","","","","","","","","","","","","","","","","","","","",""
"Ukraine","UKR","1998","1.91559890001827","449400","708000000","","","","","","","","","","","","","","","","","","","","","","","","","8.4327501643","4.4922017792","12.94939359","","","","","2.10598171305119","5.6786703601108","912212088.800346","","","","","","","","","","","","",""
"United States","USA","2008","0.980773296054947","1540000","6807000000","967000000","","","","","","","","","","","","","","","","","","","","","","22.8815508461824","","5.4252910534","2.3331166257","8.5964727204","","2020000","","","4.46382735629989","11.9719995399003","656756000000","11.9217285921583","","17.0114942528736","","","","40","48.18125","","56.6413979938791","","",""
"Vietnam","VNM","2017","0.924405664269144","522000","","783000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","633000","","60","2.26796977611754","8.37868274891995","5073853533.65223","","90","26.7206477732794","51","100","83.3333333333333","100","57.225","8","","14","498","38.1"
"Yemen, Rep.","YEM","2012","2.54952437226975","137900","","38000000","2330","3","3","3","3.16666666666667","3","3.5","2","3","2","3.5","3","3","2.5","2.8","3.5","3","3.5","3","4","2","","2.99166666666667","6.603147871","","","132000","","385000","30","4.57388427656059","12.628757828829","1618840126.70806","","70","0.332225913621262","0.9","40","46.6666666666667","40","56.35625","","","44","248","33.6"
"Arab World","ARB","1984","","","99000000","12422000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5715050085711","","36994839308.1242","","","","","","","","","","","","",""
"Armenia","ARM","2019","","","","248000000","","","","","","","","","","","","","","","","","","","","","","21.6733251215233","","","","","","","","100","4.76896835374862","19.2259657783639","652000174.824083","15.1289014892933","90.0001","23.4848484848485","0","90","93.3333666666667","100","81.225","6","38.1873818402059","15","264","22.6"
"Azerbaijan","AZE","1996","2.66608672657294","110700","","","","","","","","","","","","","","","","","","","","","","","","15.807941154944","","5.0919361807","","","","","","","2.25423034135488","11.4074074074074","71606841.2432157","0","","","","","","","","","54.1945487603474","","",""
"Burundi","BDI","2020","","","","","63","4","3","2.5","2.66666666666667","3","3.5","2.5","3","4","2.5","3.6","3.5","2","2.3","2.5","2.5","3","3.16666666666667","4","1.5","","2.93333333333333","","","","310","51000","22000","40","1.97921598967036","6.8656500686565","67474092.716297","","93.3333","38.2113821138211","","40","57.7777666666667","","","","","","",""
"Burkina Faso","BFA","1987","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.25258646172037","","50712557.8547733","","","","","","","","","","","","",""
"Bosnia and Herzegovina","BIH","1996","15.9105644044928","227000","","58000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bolivia","BOL","2004","1.63681446058178","68000","","1000000","","","","","","","","","","","","","","","","","","","","","","27.2111987638891","","","","","","","","50","1.9249821546805","5.9515541740675","168881603.07046","4.53497025773114","96.66667","19.2307692307692","9.6","60","68.8888888888889","40","","","44.2692691371839","","",""
"Central Europe and the Baltics","CEB","2011","0.951409462372583","465900","","331000000","","","","","","","","","","","","","","","","","","","","","","37.0757776307925","","","","","","","","","1.40835836661165","3.26973220848983","20407273070.5516","5.83639051426983","","18.4333759046403","14.0636363636364","","","","","","48.5311703072954","26.5454545454545","257.363636363636","40.7818181818182"
"Colombia","COL","2000","1.36297180828008","247000","","60000000","1078","","","","","","","","","","","","","","","","","","","","","16.9331428734368","","66.967003377","9.5238258218","126.70275937","","","","","3.03168353865852","11.4722419560793","3027922793.23722","-2.15740962073807","","11.8012422360248","","","","","","","30.4690468060384","","",""
"Cuba","CUB","2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9900","","","","","","","","53.2231404958678","","","","70","46.875","","","","",""
"Cyprus","CYP","1979","","","","","","","","","","","","","","","","","","","","","","","","","","22.500793647279","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","CZE","2001","1.15352816917738","59200","","","","","","","","","","","","","","","","","","","","","","","","36.6830856654541","","1.3143778626","0.89113547724","1.7611098514","","","","","1.75124955758828","4.05347313095483","1182519922.28272","6.32330729318055","","15","","","","","","","43.9339057163966","","",""
"Djibouti","DJI","1983","","","","3000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.65969316596932","","30902369.4442413","","","","","","","","","","","","",""
"Dominican Republic","DOM","1983","","","","","","","","","","","","","","","","","","","","","","","","","","11.3680237728564","","","","","","","","","1.36650543348589","","126000000","","","","","","","","","","","","",""
"Early-demographic dividend","EAR","1992","0.877219337739276","6736000","","8606000000","12151","","","","","","","","","","","","","","","","","","","","","16.2119177261522","","","","","","","","","2.81677987067597","","85189164556.7098","","","","","","","","","","","","",""
"Early-demographic dividend","EAR","1983","","","","17232000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.91126436212603","","70372897676.0834","","","","","","","","","","","","",""
"Europe & Central Asia","ECS","2018","1.14035416044562","4990505","13552000000","3931000000","","3.8","3.6","3.9","3.7","3.6","3.5","2.7","3.3","4.1","3.9","3.62","3.3","3","3.2","3.7","3.1","3.4","3.46666666666667","4.1","2.6","35.5298144237707","3.49666666666667","","","","","38719","","","1.63931508751973","3.93874240831284","377703506708.911","4.97653965005839","","27.9538376992123","25.092","","","","","6.18","54.4598198403518","13.6","180.14","36.686"
"Ecuador","ECU","2009","0.879662136244353","58983","","77000000","","","","","","","","","","","","","","","","","","","","","","","","17.767204543","3.7472337182","31.726495355","","","","80","3.11741808812028","9.45657447840854","1949000000","","93.33333","32.258064516129","37.2","80","84.4444444444444","40","76.5","","","8","600","34.8"
