"Country Name","Country Code","Year","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)","Annualized average growth rate in per capita real survey mean consumption or income, total population (%)","GINI index (World Bank estimate)","Income share held by fourth 20%","Income share held by highest 10%","Income share held by highest 20%","Income share held by lowest 10%","Income share held by lowest 20%","Income share held by second 20%","Income share held by third 20%","Population living in slums (% of urban population)","Poverty gap at $1.90 a day (2011 PPP) (%)","Poverty gap at $3.20 a day (2011 PPP) (%)","Poverty gap at $5.50 a day (2011 PPP) (%)","Poverty gap at national poverty lines (%)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)","Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)","Poverty headcount ratio at national poverty lines (% of population)","Rural poverty gap at national poverty lines (%)","Rural poverty headcount ratio at national poverty lines (% of rural population)","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)","Survey mean consumption or income per capita, total population (2011 PPP $ per day)","Urban poverty gap at national poverty lines (%)","Urban poverty headcount ratio at national poverty lines (% of urban population)"
"Hungary","HUN","2009","0","0","27","23","21.5","35.9","3.6","8.9","14.1","18.2","0","0","0","0.3","0","0","0.2","1.5","12.3","0","0","0","0","0","0"
"Jordan","JOR","1997","0","0","36.4","21.1","29.8","44.4","3.3","7.6","11.4","15.5","0","0.3","2.6","13.7","0","1.4","12.9","44.6","0","0","0","0","0","0","0"
"Late-demographic dividend","LTE","1990","0","0","0","0","0","0","0","0","0","0","84.636671292344","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lithuania","LTU","2013","0","0","35.3","22.4","27.1","42.5","2.5","6.7","12","16.3","0","0.5","0.8","1.9","0","0.7","2","5","19.1","0","0","0","0","0","0"
"Moldova","MDA","2014","0","0","26.8","22.5","22.1","36.6","4.2","9.7","13.7","17.4","0","0","0.1","3.5","1.5","0","1.1","18.4","11.4","0","0","0","0","0","0"
"Madagascar","MDG","2012","0","0","42.6","20.7","33.5","49.4","2.2","5.7","10","14.1","0","39","57.9","73.4","0","77.6","91","97.3","70.7","0","0","0","0","0","0"
"Philippines","PHL","2009","0","0","0","0","0","0","0","0","0","0","40.9","0","0","0","5.4","0","0","0","26.3","0","0","2.38","6.75","0","12.6"
"South Sudan","SSD","2014","0","0","0","0","0","0","0","0","0","0","95.6","0","0","0","0","0","0","0","55.1","0","0","0","0","0","0"
"Ukraine","UKR","2008","0","0","26.6","22.5","21.9","36.4","4.1","9.6","13.9","17.6","0","0","0.1","1.5","0","0","0.4","8.3","7.1","0","0","0","0","0","0"
"World","WLD","2009","0","0","0","0","0","0","0","0","0","0","33.3306196582094","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Africa","ZAF","2000","0","0","57.8","18.8","44.9","62.7","1.3","3.1","5.6","9.9","33.2","11.7","24.3","39.6","0","32.6","51.1","68.4","0","0","0","0","0","0","0"
"Brazil","BRA","1986","0","0","58.5","18.2","46.6","62.8","0.9","2.7","6","10.3","0","4.1","9.3","19.4","0","10.5","23.3","42.4","0","0","0","0","0","0","0"
"Chile","CHL","2009","0","0","49","19.2","39.7","54.8","1.6","4.6","8.7","12.7","0","1.3","2.6","6.9","0","2.6","6.7","20.5","25.3","0","43.6","5.21","15.69","0","22.6"
"Colombia","COL","1990","0","0","0","0","0","0","0","0","0","0","62.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greece","GRC","2014","0","0","35.8","23.3","26.1","41.8","2","5.9","11.9","17","0","0.8","1.4","2.8","0","1.5","3","7","0","0","0","0","0","0","0"
"Paraguay","PRY","2010","0","0","51","19.7","40.5","55.6","1.3","3.8","8.1","12.8","0","1.7","4.8","11.8","0","5.5","13.3","30","39","0","0","0","0","0","0"
"Chad","TCD","2014","0","0","0","0","0","0","0","0","0","0","88.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Uzbekistan","UZB","1998","0","0","44.7","22.5","32.7","49.1","1.1","4","9.6","14.8","0","17.7","32.6","51.9","0","40.2","65.5","87.3","0","0","0","0","0","0","0"
"Zimbabwe","ZWE","2011","0","0","43.2","21","33.8","49.7","2.5","5.8","9.5","14","0","5.2","17.3","36.1","0","21.4","47.2","74","0","0","0","0","0","0","0"
"Denmark","DNK","2008","0","0","25.2","22.5","21","35.2","4","9.8","14.5","18","0","0.1","0.1","0.3","0","0.2","0.2","0.7","0","0","0","0","0","0","0"
"Gabon","GAB","2014","0","0","0","0","0","0","0","0","0","0","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guinea-Bissau","GNB","1993","0","0","43.6","21","34.4","49.7","2.2","5.6","9.5","14.2","0","28.4","48.2","66.4","0","64","86.1","95.3","0","0","0","0","0","0","0"
"IDA total","IDA","2002","0","0","0","0","0","0","0","0","0","0","0","19.7","38","57.8","0","49","76.2","91.4","0","0","0","0","0","0","0"
"Indonesia","IDN","2014","0","0","0","0","0","0","0","0","0","0","21.8","1.2","10.2","29","1.8","7.9","37.8","69","11.3","2.3","14.2","0","0","1.3","8.3"
"Luxembourg","LUX","2010","0","0","30.5","22.9","23.7","38.8","3.3","8.2","12.9","17.3","0","0","0","0","0","0","0","0.2","0","0","0","36.83","70.8","0","0"
"Maldives","MDV","2009","0","0","38.4","21.9","29.9","45","2.5","6.4","11","15.7","0","1.5","7.3","21","4.1","7.3","24.4","54.3","15.7","3.5","14.3","0","0","5.3","18.2"
"Malawi","MWI","2014","0","0","0","0","0","0","0","0","0","0","66.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Uganda","UGA","1996","0","0","39","21.1","31.3","46.5","2.8","6.8","10.8","14.9","0","23.8","44.9","64.5","13.7","61.3","85.3","95.1","44.4","15.2","48.7","0","0","4.3","16.7"
"Uruguay","URY","2016","3.18","1.76","39.7","22.4","29.7","45.9","2.2","5.8","10.5","15.4","0","0","0.1","0.8","0","0.1","0.5","3.7","9.4","0","0","10.64","26.13","0","0"
"Dominican Republic","DOM","2011","0","0","47.4","20.5","37.2","52.9","1.8","4.8","8.7","13.1","0","0.7","3.1","10.3","0","2.9","10.4","30.4","40.4","0","48.4","4.22","12.54","0","36.5"
"East Asia & Pacific","EAS","2011","0","0","0","0","0","0","0","0","0","0","0","1.8","8.2","21.6","0","8.6","26.5","52.3","0","0","0","0","0","0","0"
"Fragile and conflict affected situations","FCS","1987","0","0","0","0","0","0","0","0","0","0","0","28.2","42.6","58","0","53.9","72","86.9","0","0","0","0","0","0","0"
"Italy","ITA","2012","0","0","35.2","22.8","26.4","41.7","2","6.3","12.3","16.9","0","0.8","1.1","1.6","0","1.2","1.7","3","0","0","0","0","0","0","0"
"Japan","JPN","2008","0","0","32.1","22.7","24.7","39.7","2.7","7.4","12.9","17.3","0","0.2","0.3","0.5","0","0.2","0.5","1","0","0","0","0","0","0","0"
"Myanmar","MMR","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.4","0","0","0","0","0","0"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2005","0","0","0","0","0","0","0","0","0","0","28.3689845537114","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Venezuela, RB","VEN","1999","0","0","48.3","21.4","36.2","52.7","0.9","3.5","8.7","13.8","0","6","11","21.7","0","12","25.3","47.6","42.8","0","0","0","0","0","0"
"Albania","ALB","1996","0","0","27","23.3","21.2","36.1","3.9","9.2","13.7","17.7","0","0.2","2.7","14.9","0","1.1","13.9","51.5","0","0","0","0","0","0","0"
"Bangladesh","BGD","1995","0","0","32.9","20.6","28.1","42.4","3.8","8.8","12.5","15.7","84.7","8.2","28.9","52.9","0","35.7","75.3","92.7","0","0","0","0","0","0","0"
"Heavily indebted poor countries (HIPC)","HPC","1995","0","0","0","0","0","0","0","0","0","0","71.7023875525942","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IDA total","IDA","1987","0","0","0","0","0","0","0","0","0","0","0","22.6","40.6","59.3","0","53.3","77.2","90.7","0","0","0","0","0","0","0"
"Jamaica","JAM","1993","0","0","35.7","22.4","27.4","42.8","2.7","6.8","11.7","16.3","0","2.6","9.7","26","0","9.8","30.9","64.6","24.4","0","0","0","0","0","0"
"Jordan","JOR","1992","0","0","43.4","20.4","35","50","2.5","6","9.7","14","0","0.5","3.8","14.9","0","2.6","16.3","43.4","0","0","0","0","0","0","0"
"Lithuania","LTU","2015","6.65","8.1","37.4","22.1","28.6","44.1","2.1","6.1","11.6","15.9","0","0.5","0.8","1.6","0","0.7","1.5","4.2","0","0","0","10.91","24.79","0","0"
"Portugal","PRT","2014","0","0","35.6","22.3","27.4","42.6","2.3","6.5","12.2","16.4","0","0.2","0.5","1.3","0","0.5","1.5","3.7","0","0","0","0","0","0","0"
"Romania","ROU","1992","0","0","25.5","23.2","20.2","34.8","3.8","9.2","14.4","18.4","0","0.3","0.8","4.3","0","0.6","2.8","18.1","0","0","0","0","0","0","0"
"South Asia (IDA & IBRD)","TSA","2014","0","0","0","0","0","0","0","0","0","0","30.4462636577431","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zambia","ZMB","1993","0","0","52.6","21","39.3","56.6","1.1","3","7","12.3","0","27.7","43","59.4","0","54.5","73.9","88.2","0","0","0","0","0","0","0"
"Armenia","ARM","2010","0","0","30","21.7","25","39.4","3.9","9.1","13","16.8","0","0.3","4","20.3","8.1","1.9","20.5","63.4","35.8","4.6","36","0","0","8.4","35.7"
"Spain","ESP","2009","0","0","34.9","23.2","25.9","41.4","2.1","6.3","12.2","16.9","0","0.6","0.7","1.1","0","0.7","1","2.2","0","0","0","0","0","0","0"
"Guyana","GUY","2014","0","0","0","0","0","0","0","0","0","0","33.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Malaysia","MYS","1995","0","0","48.5","20.4","37.9","53.8","1.8","4.5","8.3","13","0","0.2","2.7","10","0","1.8","11.5","29.4","0","0","0","0","0","0","0"
"Nigeria","NGA","2003","0","0","40.1","22.5","29.8","46","2.1","5.7","10.4","15.4","0","21.9","40.8","60.7","18.4","53.5","79.9","94.1","48.4","22","56.6","0","0","13.7","37.9"
"Panama","PAN","2010","0","0","51.7","20.2","39.8","56.1","1.1","3.3","7.8","12.6","0","1.3","3.8","9.1","0","4.5","10.8","21.9","29.8","0","0","0","0","0","0"
"Vietnam","VNM","2016","5.17","3.75","35.3","22.4","27.1","42.5","2.6","6.9","11.9","16.3","0","0.4","2.2","8.8","0","2","8.2","28.7","9.8","0","0","4.46","9.49","0","0"
"Austria","AUT","2012","0","0","30.5","23","23.4","38.4","2.9","7.8","13.3","17.5","0","0.4","0.5","0.7","0","0.5","0.7","1","0","0","0","0","0","0","0"
"China","CHN","1999","0","0","0","0","0","0","0","0","0","0","0","13.2","30.7","51.6","0","40.5","68.5","89","0","0","0","0","0","0","0"
"Germany","DEU","2004","0","0","30.4","22.4","24.2","39.1","3.4","8.5","13.1","16.9","0","0","0","0.1","0","0","0.2","0.2","0","0","0","0","0","0","0"
"East Asia & Pacific","EAS","2009","0","0","0","0","0","0","0","0","0","0","28.9538881098005","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ecuador","ECU","2008","0","0","49.7","20.6","38.1","54.6","1.3","3.8","8.1","12.9","0","2.9","6.7","15.8","14.5","7.5","18.1","38.2","35.1","27.5","59.7","0","0","7.9","22.6"
"Mali","MLI","2009","0","0","33","22.5","25.7","41.3","3.3","8","12.1","16.2","65.9","15.5","36.3","58.4","0","49.7","79.4","94.9","41.1","0","0","0","0","0","0"
"Malaysia","MYS","2011","0","0","43.9","21.8","33.2","49.6","2","5.2","9.3","14.1","0","0","0.2","2","0","0.1","1.2","8.6","1.7","0","0","7.89","21.76","0","0"
"Russian Federation","RUS","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.2","0","0","0","0","0","0"
"Trinidad and Tobago","TTO","1992","0","0","40.3","22.7","29.9","45.9","2.1","5.5","10.3","15.5","0","0.9","3.7","11.8","0","3.4","13.1","32.9","0","0","0","0","0","0","0"
"Austria","AUT","2006","0","0","29.6","22.6","23.7","38.3","3.4","8.6","13.3","17.2","0","0","0.1","0.2","0","0","0.2","0.5","0","0","0","0","0","0","0"
"Brazil","BRA","2001","0","0","58.4","18.5","46.1","62.5","0.8","2.5","6","10.5","0","4.6","9.9","19.5","0","11.6","23.5","41.3","24.7","0","0","0","0","0","0"
"Kyrgyz Republic","KGZ","2013","0","0","28.8","22.1","23.8","38.3","4","9.3","13.3","16.9","0","0.5","5.6","24.3","7","3.3","26.3","69.5","37","0","41.4","0","0","0","28.5"
"Latin America & Caribbean","LCN","2008","0","0","0","0","0","0","0","0","0","0","0","2.8","6.2","13.9","0","6.9","15.7","33.3","0","0","0","0","0","0","0"
"Latin America & Caribbean","LCN","1999","0","0","0","0","0","0","0","0","0","0","0","5.9","11.7","22.5","0","13.6","27","47","0","0","0","0","0","0","0"
"Low income","LIC","1987","0","0","0","0","0","0","0","0","0","0","0","26.5","44.2","61.3","0","58.6","78.4","89.9","0","0","0","0","0","0","0"
"Low income","LIC","2010","0","0","0","0","0","0","0","0","0","0","0","19.6","36.9","56","0","47.9","73","89.2","0","0","0","0","0","0","0"
"Moldova","MDA","2010","0","0","32.1","22.4","25.4","40.3","3.3","8.1","12.5","16.6","0","0.1","1.1","7.4","4.5","0.5","6.1","29","21.9","6.5","30.3","0","0","1.8","10.4"
"Turkey","TUR","2015","0","0","42.9","21.1","33.5","49.2","2.1","5.6","9.9","14.2","0","0.1","0.5","3.1","0","0.3","2.7","11.5","1.6","0","0","0","0","0","0"
"Bulgaria","BGR","1992","0","0","30.7","22.3","24.7","39.3","3.5","8.3","13","17.1","0","0","0","0","0","0","0","0.7","0","0","0","0","0","0","0"
"Brazil","BRA","2005","0","0","56.3","18.7","44.6","60.7","1","2.9","6.5","11.1","29","3.2","7.6","16.7","0","8.6","19.7","38.1","21","0","0","0","0","0","0"
"Switzerland","CHE","2009","0","0","32.9","22.7","25.6","40.6","3.1","7.8","12.3","16.6","0","0","0","0.1","0","0","0","0.2","0","0","0","0","0","0","0"
"Chile","CHL","2003","0","0","51.5","19.1","41.4","56.8","1.4","4","7.9","12.2","0","1.8","4.1","11.1","0","4.2","11.5","30.3","18.7","0","19.9","0","0","0","18.5"
"Indonesia","IDN","1998","0","0","0","0","0","0","0","0","0","0","0","22.4","46.3","66.8","0","66.6","90.2","97.9","0","0","0","0","0","0","0"
"India","IND","1977","0","0","0","0","0","0","0","0","0","0","0","21","44.2","65","0","61.6","88.1","97","0","0","0","0","0","0","0"
"Iceland","ISL","2011","0","0","26.8","22.4","22.1","36.2","3.7","9.3","14.1","18","0","0","0.1","0.2","0","0.2","0.2","0.4","0","0","0","0","0","0","0"
"Lower middle income","LMC","2009","0","0","0","0","0","0","0","0","0","0","35.567320503167","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lesotho","LSO","1994","0","0","63.2","18.8","48.3","66.5","0.5","1.5","4.3","9","0","28.4","40.3","53.7","37.9","50.1","64.2","77.8","66.6","0","68.9","0","0","0","36.7"
"Lithuania","LTU","2006","0","0","34.4","22.1","26.8","42","2.4","6.9","12.5","16.5","0","0.7","1.3","2.7","0","1.5","2.7","7.2","19.1","0","0","0","0","0","0"
"Madagascar","MDG","2010","0","0","42.4","20.1","34.3","49.5","2.4","6.1","10.2","14","0","38.2","57.7","73.4","0","78.5","91.3","97.6","71.7","0","0","0","0","0","0"
"Malaysia","MYS","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8","0","0","0","0","1.8","8.4","0","0","0.3","1.7"
"Pakistan","PAK","1998","0","0","33.1","20.6","28.5","42.4","3.7","8.7","12.4","15.8","0","4.8","21.8","46.7","0","23.4","66","90.1","57.9","0","0","0","0","0","0"
"Ukraine","UKR","2005","0","0","29","22.6","23.2","38","3.7","8.8","13.3","17.2","0","0","0.5","4.3","0","0.3","2.6","19","55.3","0","0","0","0","0","0"
"Djibouti","DJI","2012","0","0","45.1","21.2","34.4","50.3","1.3","4.3","9.8","14.4","0","7.9","16.2","32.6","0","18.3","38.7","68.6","0","0","0","0","0","0","0"
"Greece","GRC","2015","-8.35","-6.98","36","23.5","26.2","41.8","1.9","5.9","11.8","17","0","0.8","1.3","2.8","0","1.5","2.7","6.7","0","0","0","9.41","21.65","0","0"
"IDA total","IDA","2005","0","0","0","0","0","0","0","0","0","0","60.1877320576294","16","32.9","53.5","0","41.6","70.7","89.4","0","0","0","0","0","0","0"
"Jamaica","JAM","1991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44.6","0","63.9","0","0","0","16.1"
"Jamaica","JAM","1996","0","0","40.4","20.7","32.7","47.5","2.5","6.4","10.5","14.9","0","0.8","3.8","14.6","0","3.4","14.1","43.1","26.1","0","0","0","0","0","0"
"Poland","POL","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.7","0","0","11","22.29","0","0"
"Thailand","THA","2012","0","0","39.3","21.8","30.4","46.3","2.8","6.6","10.4","14.8","0","0","0.2","2.9","0","0.1","1.5","13.7","12.6","0","16","0","0","0","8.8"
"Thailand","THA","1992","0","0","47.9","19.5","38.6","54.4","2.2","5.4","8.5","12.3","0","1.1","7.9","23.5","0","6.6","29.1","58","0","0","0","0","0","0","0"
"Tajikistan","TJK","1999","0","0","29.5","22.7","23.3","38.1","3.3","8.3","13.4","17.4","0","17.5","40.6","63.1","0","54.4","87.1","98.1","0","0","0","0","0","0","0"
"Vietnam","VNM","2002","0","0","37","21.1","29.8","45.4","3.2","7.5","11.2","14.8","0","10.1","29.2","51.3","0","38","70.8","89.2","0","0","0","0","0","0","0"
"Bolivia","BOL","2011","0","0","46.1","22.2","33.7","50.6","1.1","3.8","9.2","14.3","0","3.1","6.1","12.3","20","7.3","14.1","28.3","45.1","34.4","61.3","4.07","12.56","12.8","36.8"
"Central African Republic","CAF","2003","0","0","43.6","21.8","33","49.4","2","5.2","9.4","14.2","0","30.3","49.2","66.8","0","64.8","85.1","95.3","0","0","0","0","0","0","0"
"Europe & Central Asia","ECS","2002","0","0","0","0","0","0","0","0","0","0","0","1.6","5.2","13.3","0","5.9","14.9","34.5","0","0","0","0","0","0","0"
"Lao PDR","LAO","2014","0","0","0","0","0","0","0","0","0","0","31.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Low income","LIC","1990","0","0","0","0","0","0","0","0","0","0","150.9542666462552","55.6","91.2","126","0","121.2","159.2","182","0","0","0","0","0","0","0"
"Morocco","MAR","1984","0","0","39.2","20.9","31.8","46.2","2.7","6.6","11.1","15.3","0","2.3","10.2","27.6","0","11.1","32.9","68.1","0","0","0","0","0","0","0"
"Netherlands","NLD","2008","0","0","29.3","22.4","23.7","38.1","3.4","8.7","13.5","17.3","0","0","0.1","0.2","0","0","0.2","0.5","0","0","0","0","0","0","0"
"Nepal","NPL","2010","0","0","32.8","21.8","26.4","41.5","3.5","8.3","12.1","16.2","0","3.1","15.8","38.5","5.4","15","50.8","83","25.2","6","27.4","0","0","3.2","15.5"
"South Sudan","SSD","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50.1","0","0","0","0","0","0"
"Ukraine","UKR","2007","0","0","27","22.5","22","36.6","4","9.5","13.8","17.6","0","0","0.2","2.9","0","0.1","1.3","14.6","12.7","0","0","0","0","0","0"
"Upper middle income","UMC","1999","0","0","0","0","0","0","0","0","0","0","0","8.9","21","37.6","0","26.9","48.6","70.3","0","0","0","0","0","0","0"
"Mozambique","MOZ","2009","0","0","0","0","0","0","0","0","0","0","80.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","BLR","1999","0","0","31.7","23.2","24","39.4","3","7.6","12.6","17.2","0","2.6","10.5","28.9","0","10.4","34.5","71.4","0","0","0","0","0","0","0"
"Georgia","GEO","2008","0","0","38.2","22.6","28.6","44.5","2.2","6","11","15.9","0","3.6","11.2","27","0","12.4","32.8","63.4","34.9","0","0","0","0","0","0"
"Israel","ISR","2012","0","0","41.4","23.5","29.6","46.1","1.7","4.7","10","15.7","0","0.3","0.5","1.4","0","0.5","1.2","4.5","0","0","0","0","0","0","0"
"Slovenia","SVN","2015","-0.78","-0.56","25.4","22.6","21","35.1","3.9","9.6","14.5","18.2","0","0","0","0","0","0","0","0.2","0","0","0","20.31","33.74","0","0"
"Slovenia","SVN","2010","0","0","24.9","22.7","20.7","34.7","3.9","9.7","14.7","18.2","0","0","0","0","0","0","0","0","13.6","0","0","21.12","34.7","0","0"
"Sweden","SWE","2008","0","0","28.1","22.8","22.3","36.9","3.2","8.6","14.1","17.6","0","0.4","0.5","0.7","0","0.5","0.7","1","0","0","0","0","0","0","0"
"Eswatini","SWZ","1994","0","0","60.5","17.4","49.5","64","0.9","2.5","5.9","10.2","0","51","66.1","78.2","0","81.7","91.9","97","0","0","0","0","0","0","0"
"Eswatini","SWZ","2014","0","0","0","0","0","0","0","0","0","0","32.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Thailand","THA","1999","0","0","43.1","20.6","34.1","50.1","2.5","6.1","9.6","13.6","0","0.4","4.1","16.7","0","2.5","18.4","48.3","0","0","0","0","0","0","0"
"Austria","AUT","2003","0","0","29.5","22.7","23.4","38","3.3","8.5","13.4","17.4","0","0.2","0.3","0.4","0","0.2","0.5","0.5","0","0","0","0","0","0","0"
"Bolivia","BOL","2005","0","0","58.5","19.2","45.3","62","0.5","2","6.1","10.8","50.4","9.9","16.4","27.5","33.3","19.3","32.1","52.1","59.6","54.3","77.6","0","0","22.8","51.1"
"Germany","DEU","2000","0","0","28.8","22.7","23","37.7","3.5","8.8","13.4","17.4","0","0","0","0.1","0","0","0.2","0.2","0","0","0","0","0","0","0"
"Dominican Republic","DOM","2007","0","0","48.6","19.9","38.4","54.1","1.6","4.4","8.5","13","16.2","1.3","4.3","12.7","0","4.5","13.7","34.1","43.6","0","51.8","0","0","0","39.1"
"Dominican Republic","DOM","1992","0","0","51.4","18.9","41.9","56.5","1.6","4.3","8.1","12.3","0","1.5","5.4","15.5","0","5.3","17.7","40.7","0","0","0","0","0","0","0"
"Georgia","GEO","2002","0","0","37.3","22.5","28.2","43.9","2.3","6.3","11.3","16","0","3.4","10.7","27","0","11.5","32","64.7","32.6","0","0","0","0","0","0"
"High income","HIC","1993","0","0","0","0","0","0","0","0","0","0","0","0.4","0.6","1.4","0","0.7","1.5","3.9","0","0","0","0","0","0","0"
"Honduras","HND","1989","0","0","59.5","17.8","48.2","63.3","1","2.8","5.9","10.2","0","19.1","32.9","49.2","0","42.2","62","79.6","0","0","0","0","0","0","0"
"Indonesia","IDN","1995","0","0","0","0","0","0","0","0","0","0","42.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Latin America & Caribbean","LCN","1981","0","0","0","0","0","0","0","0","0","0","0","5.2","11.2","22","0","13","26.5","46","0","0","0","0","0","0","0"
"Mongolia","MNG","1998","0","0","30.3","23.3","22.9","38.2","3","7.7","13.1","17.7","0","8","23.2","47.2","0","26.9","62.9","91.1","0","0","0","0","0","0","0"
"Russian Federation","RUS","2005","0","0","41.3","21.8","31.4","47.7","2.3","5.8","10.1","14.5","0","0.1","0.7","3.9","2.1","0.5","3.2","14.7","17.8","0","0","0","0","0","0"
"East Asia & Pacific (IDA & IBRD countries)","TEA","1990","0","0","0","0","0","0","0","0","0","0","92.0796334635174","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tajikistan","TJK","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","0","36.1","0","0","0","23.5"
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","2014","0","0","0","0","0","0","0","0","0","0","20.3485806868449","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Upper middle income","UMC","2002","0","0","0","0","0","0","0","0","0","0","0","6.8","16.8","31.8","0","21.1","40.5","62.6","0","0","0","0","0","0","0"
"Vietnam","VNM","2008","0","0","35.6","21.8","28","43.5","3","7.4","11.6","15.7","0","3.5","14.6","35.7","0","14.8","46.7","78.4","0","0","0","0","0","0","0"
"Denmark","DNK","2006","0","0","25.9","22.3","21.7","35.8","4","9.8","14.3","17.7","0","0","0.1","0.2","0","0.2","0.2","0.2","0","0","0","0","0","0","0"
"Pakistan","PAK","1996","0","0","28.7","21.1","25.2","39","4.4","9.9","13.4","16.5","0","2.6","18.3","44.5","0","15.9","63.4","91","0","0","0","0","0","0","0"
"Portugal","PRT","2009","0","0","34.9","22","27.4","42.5","2.7","7.2","12","16.3","0","0.1","0.2","0.5","0","0.2","0.5","1.5","0","0","0","0","0","0","0"
"Portugal","PRT","2006","0","0","38.1","21.7","29.6","45.4","2.5","6.7","11.1","15.1","0","0","0.1","0.6","0","0","0.5","2.2","0","0","0","0","0","0","0"
"Paraguay","PRY","2001","0","0","54.6","19.1","43.1","58.9","1","3.1","7.1","11.9","0","3.3","7.5","16","0","8.9","18.3","36.2","0","0","0","0","0","0","0"
"Turkey","TUR","2009","0","0","39","22.3","29.2","45.4","2.2","5.9","10.8","15.6","13","0.1","1.1","5","0","0.9","5","16.7","4.3","0","11.9","0","0","0","1"
"Uganda","UGA","1989","0","0","44.4","21.6","33.7","49.9","1.9","4.9","9.3","14.3","0","24.9","43.3","62","0","56.8","80","93","0","0","0","0","0","0","0"
"Burundi","BDI","1998","0","0","42.3","21.5","32.7","48","1.7","5.1","10.3","15.1","0","44.8","63.8","77.7","0","84.1","95.3","98","0","0","0","0","0","0","0"
"Botswana","BWA","1990","0","0","0","0","0","0","0","0","0","0","118.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"China","CHN","2015","9.11","7.37","0","0","0","0","0","0","0","0","0","0.2","1.4","7.8","0","0.7","7","27.2","5.7","0","0","4.65","10.9","0","0"
"Ecuador","ECU","2006","0","0","52.2","19.6","41.1","56.9","1.3","3.7","7.7","12.1","0","2.8","7.2","17.2","0","8.1","19.8","41.2","37.6","0","60.6","0","0","0","25.9"
"Egypt, Arab Rep.","EGY","2007","0","0","0","0","0","0","0","0","0","0","14.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Estonia","EST","2003","0","0","37.2","22","28.4","44.1","2","6.1","11.9","15.8","0","1.3","2.3","5.1","0","2.5","5.2","13.5","0","0","0","0","0","0","0"
"Guyana","GUY","1992","0","0","0","0","0","0","0","0","0","0","0","12.8","27.2","47.4","0","33.9","61.2","85.4","0","0","0","0","0","0","0"
"Italy","ITA","2010","0","0","34.7","22.8","26.1","41.4","2.1","6.4","12.5","17","0","0.9","1.1","1.5","0","1.2","1.7","2.5","0","0","0","19.88","42.44","0","0"
"Malta","MLT","2011","0","0","29.1","22.6","23.2","37.8","3.5","8.5","13.5","17.6","0","0.1","0.2","0.3","0","0.2","0.2","0.5","0","0","0","0","0","0","0"
"Netherlands","NLD","2010","0","0","27.8","22.6","22.4","36.9","3.6","9","13.8","17.7","0","0","0","0.1","0","0","0","0.2","0","0","0","27.9","50.25","0","0"
"Portugal","PRT","2013","0","0","36.2","22.3","27.5","43.1","2.1","6.3","12","16.3","0","0.4","0.7","1.7","0","0.7","1.7","4.5","0","0","0","0","0","0","0"
"Sweden","SWE","2015","1.8","2.4","29.2","22.8","22.9","37.6","3","8.2","13.9","17.6","0","0.3","0.4","0.6","0","0.5","0.7","1","0","0","0","29.49","53.85","0","0"
"Armenia","ARM","2006","0","0","29.7","22.1","24.5","38.8","3.7","8.9","13.1","17","0","0.6","4.9","21.5","0","3.2","22.5","64","30.2","0","0","0","0","0","0"
"Antigua and Barbuda","ATG","1990","0","0","0","0","0","0","0","0","0","0","13.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
