"Country Name","Country Code","Year","Adequacy of social insurance programs (% of total welfare of beneficiary households)","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","Adequacy of social safety net programs (% of total welfare of beneficiary households)","Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits)","Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits)","Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits)","Children in employment, wage workers (% of children in employment, ages 7-14)","Children in employment, wage workers, female (% of female children in employment, ages 7-14)","Children in employment, wage workers, male (% of male children in employment, ages 7-14)","Coverage of social insurance programs (% of population)","Coverage of social insurance programs in 2nd quintile (% of population)","Coverage of social insurance programs in 3rd quintile (% of population)","Coverage of social insurance programs in 4th quintile (% of population)","Coverage of social insurance programs in poorest quintile (% of population)","Coverage of social insurance programs in richest quintile (% of population)","Coverage of social protection and labor programs (% of population)","Coverage of social safety net programs (% of population)","Coverage of social safety net programs in 2nd quintile (% of population)","Coverage of social safety net programs in 3rd quintile (% of population)","Coverage of social safety net programs in 4th quintile (% of population)","Coverage of social safety net programs in poorest quintile (% of population)","Coverage of social safety net programs in richest quintile (% of population)","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio, 15+, male (%) (national estimate)","Employment to population ratio, 15+, total (%) (national estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)","Labor force participation rate for ages 15-24, male (%) (national estimate)","Labor force participation rate for ages 15-24, total (%) (national estimate)","Labor force participation rate, female (% of female population ages 15+) (national estimate)","Labor force participation rate, male (% of male population ages 15+) (national estimate)","Labor force participation rate, total (% of total population ages 15+) (national estimate)","Labor force, female (% of total labor force)","Labor force, total","Part time employment, male (% of total male employment)","Part time employment, total (% of total employment)","Ratio of female to male labor force participation rate (%) (national estimate)","Share of youth not in education, employment or training, female (% of female youth population)","Share of youth not in education, employment or training, male (% of male youth population)","Share of youth not in education, employment or training, total (% of youth population)","Unemployment, female (% of female labor force) (national estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)"
"Nepal","NPL","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83.5690002441406","76.4000015258789","84.1999969482422","79.8000030517578","0","0","0","79.6999969482422","86.8000030517578","0","51.5017844116779","15851443","0","0","91.8202697535829","0","0","0","3.40000009536743","3.48200011253357","2.59999990463257","3","3","0","6.48199987411499","0","4.9539999961853","0"
"New Zealand","NZL","1995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.55499982833862","52.2027015686035","69.3706970214844","60.5457992553711","62.9794998168945","71.2247009277344","67.0999984741211","55.8144989013672","74.1446990966797","64.7297973632813","44.0551092697081","1816972","0","0","75.2778008156576","0","0","0","6.48799991607666","6.44899988174438","6.44000005722046","6.46000003814697","6.46099996566772","12.1820001602173","12.3459997177124","12.3529996871948","12.2760000228882","12.2729997634888"
"Papua New Guinea","PNG","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.2709999084473","0","0","0","0","0","0","0","0","0","48.8486502586457","3434621","0","0","0","0","0","0","0","3.57200002670288","0","2.65400004386902","0","0","5.89900016784668","0","4.98400020599365","0"
"Sweden","SWE","1971","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.76999998092651","0","2.35999989509583","0","0","0","0","0","0","0"
"Chad","TCD","1996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.5080032348633","0","0","0","0","0","0","0","0","0","45.3175280204438","2702045","0","0","0","0","0","0","0","4.69399976730347","0","5.55900001525879","0","0","9.2790002822876","0","10.0790004730225","0"
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","2004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65.1559480557353","0","0","0","0","0","0","0","0","0","45.8181208262764","283834983","0","0","0","0","0","0","0","6.70904380789367","0","7.9311505206663","0","0","13.520581453355","0","15.3079124756651","0"
"Uzbekistan","UZB","2003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44.6559982299805","33.2200012207031","41.5","37.4000015258789","0","0","0","33.2200012207031","41.5","37.4000015258789","42.1928443812253","10565711","0","0","80.0481957125376","0","0","0","0","8.35700035095215","0","8.28600025177002","0.300000011920929","0","14.9919996261597","0","15.7220001220703","0"
"Vanuatu","VUT","2004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66.3629989624023","0","0","0","0","0","0","0","0","0","43.1107765359893","86345","0","0","0","0","0","0","0","5.0479998588562","0","5.61100006103516","0","0","10.1440000534058","0","10.5880002975464","0"
"Zimbabwe","ZWE","1990","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.9556469064186","8179452","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","AFG","1991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.2779998779297","0","0","0","0","0","0","0","0","0","14.0969159198819","3480811","0","0","0","0","0","0","0","11.6160001754761","0","12.0310001373291","0","0","25.3150005340576","0","25.5890007019043","0"
"Australia","AUS","2000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.43300008773804","51.2047004699707","67.4403991699219","59.1712989807129","68.4535980224609","71.8621978759766","70.1812973022461","54.5088005065918","72.0948028564453","63.1380996704102","43.6288175756871","9603084","20.5100002288818","31.3999996185303","75.6071150026298","0","0","0","6.06169986724854","6.45499992370605","6.45599985122681","6.28000020980835","6.28259992599487","11.2320995330811","12.9029998779297","12.8937997817993","12.0900001525879","12.0945997238159"
"Bangladesh","BGD","1992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.2910003662109","0","0","0","0","0","0","0","0","0","20.1931431733598","36723431","0","0","0","0","0","0","0","2.18199992179871","0","2.29800009727478","0","0","5.00899982452393","0","4.92600011825562","0"
"Bolivia","BOL","2002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.0950012207031","57.5999984741211","80","68.4000015258789","0","0","0","61.7999992370605","83.5","72.3000030517578","42.6864398043685","3841508","0","0","74.0119751342042","0","0","0","0","4.27099990844727","0","5.40000009536743","0","0","8.2180004119873","0","10.1680002212524","0"
"Bhutan","BTN","2005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.2539978027344","45.9700012207031","69.379997253418","58.5900001525879","40.9099998474121","53.6699981689453","47.7099990844727","47.7000007629395","71.4700012207031","60.439998626709","42.952398285875","302195","0","0","66.7412899793291","0","0","0","0","2.64299988746643","0","3.09999990463257","0","7.19000005722046","7.75899982452393","5.53000020980835","8.15200042724609","6.19000005722046"
"China","CHN","1984","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.89999997615814","0","0","0","0","0"
"Cote d'Ivoire","CIV","1998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.6349983215332","0","0","65.8499984741211","40.7900009155273","62.5499992370605","51.5699996948242","48.2700004577637","81.4800033569336","65.1699981689453","34.4480417250009","5919904","0","0","59.241529785303","0","0","0","28.8999996185303","3.34200000762939","17.1000003814697","4.09999990463257","0","0","4.34299993515015","0","5.71600008010864","0"
"Cabo Verde","CPV","1996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.9589996337891","0","0","0","0","0","0","0","0","0","37.2255797197347","136014","0","0","0","0","0","0","0","10.7889995574951","0","11.5869998931885","0","0","16.1669998168945","0","17.6849994659424","0"
"Europe & Central Asia (excluding high income)","ECA","1991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.1514818679884","0","0","0","0","0","0","0","0","0","45.4683778035547","178159444","0","0","0","0","0","0","0","7.1415672806136","0","6.84430909975448","0","0","17.8273469794073","0","16.7623812799006","0"
"Estonia","EST","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.99800002574921","52.9472007751465","65.3134002685547","58.6180000305176","40.3758010864258","46.0950012207031","43.2654991149902","56.3678016662598","70.5449981689453","62.8689994812012","48.5047038653816","694110","16.8999996185303","20.8600006103516","79.9033285552958","11.5600004196167","6.76999998092651","9.14000034332275","6.06839990615845","7.41400003433228","7.41590023040771","6.76000022888184","6.76170015335083","10.5804004669189","15.7370004653931","15.8243999481201","13.4079999923706","13.4033002853394"
"Haiti","HTI","1985","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46.0999984741211","59.0499992370605","52.5","57.1199989318848","80.0599975585938","68.1999969482422","0","0","0","0","71.3464909739476","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hungary","HUN","1983","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76.5999984741211","86.6999969482422","81.8000030517578","0","0","0","0","88.3506357213016","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jamaica","JAM","1995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.6660003662109","0","0","0","49.7000007629395","59.5999984741211","54.5999984741211","61.7999992370605","76.8000030517578","69","45.2764260316859","1171941","0","0","80.4687458090485","0","0","0","22.5100002288818","12.3819999694824","10.8299999237061","16.2299995422363","16.2299995422363","0","30.6900005340576","0","36.1839981079102","0"
"Kazakhstan","KAZ","1995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37.4280014038086","0","0","0","0","0","0","0","0","0","48.1299130956732","7956796","0","0","0","0","0","0","2.70000004768372","9.15999984741211","1.60000002384186","10.9799995422363","0","0","9.20300006866455","0","11.1809997558594","0"
"Lebanon","LBN","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0450000017881393","0","0","0","0","0","0","0","0","0","24.3090900354464","2164392","0","0","0","0","0","0","0","5.3289999961853","0","6.5789999961853","0","0","15.1129999160767","0","17.2189998626709","0"
"Lebanon","LBN","2006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0469999983906746","0","0","0","0","0","0","0","0","0","21.7316389950687","1370840","0","0","0","0","0","0","0","8.01000022888184","0","8.41499996185303","0","0","22.5839996337891","0","21.6299991607666","0"
"Least developed countries: UN classification","LDC","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71.9359399938603","0","0","0","0","0","0","0","0","0","41.6026554415912","332438566","0","0","0","0","0","0","0","4.7470521005741","0","5.63818913732929","0","0","10.140231110717","0","11.1821752801437","0"
"Lesotho","LSO","2000","0","0","0","0","0","0","3.63","2.25","4.66","0","0","0","0","0","0","0","0","0","0","0","0","0","54.5229988098145","0","0","0","0","0","0","0","0","0","49.567518919113","807781","0","0","0","0","0","0","0","17.0389995574951","0","22.9559993743896","0","0","22.6599998474121","0","29.8570003509521","0"
"Lithuania","LTU","1997","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.9540004730225","46.4000015258789","60.310001373291","52.8300018310547","35.6300010681152","50.8600006103516","43.3400001525879","53.8800010681152","69.75","61.2000007629395","47.2839853481553","1724015","0","0","77.247313359305","0","0","0","0","14.3050003051758","0","14.1300001144409","0","0","25.0389995574951","0","25.6159992218018","0"
"Macao SAR, China","MAC","1995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.187999993562698","47.6199989318848","69.9700012207031","58.0699996948242","50.6300010681152","56.0499992370605","53.1800003051758","48.9599990844727","72.8499984741211","60.1699981689453","42.2568874398854","172379","0","0","67.2065890322085","0","0","0","3","4.09899997711182","4.09999990463257","3.59999990463257","3.59999990463257","0","9.33100032806396","0","7.23999977111816","0"
"Morocco","MAR","1960","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.10000038146972","149.7799987792968","80.400001525879","17.57999992370606","174.8200073242188","94.400001525879","0","0","0","0","20.112114388718","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madagascar","MDG","1991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.0479965209961","0","0","0","0","0","0","0","0","0","48.8648523754409","5635038","0","0","0","0","0","0","0","5.58099985122681","0","5.80700016021729","0","0","9.60000038146973","0","9.66199970245361","0"
"Namibia","NAM","1992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48.5260009765625","0","0","0","0","0","0","0","0","0","45.4106498380229","487106","0","0","0","0","0","0","0","16.9270000457764","0","19.0809993743896","0","0","32.1800003051758","0","36.451000213623","0"
"Netherlands","NLD","1972","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","0","2.79999995231628","0","0","0","0","0"
"Peru","PER","2000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.6679992675781","50.2900009155273","74.0699996948242","61.5699996948242","45.1500015258789","59.5400009155273","52.0499992370605","53.9799995422363","78.8499984741211","65.7799987792969","41.0460936338607","11502890","0","0","68.4591003003669","0","0","0","0","5.69299983978271","0","5.75799989700317","0","13.6099996566772","10.4860000610352","13.6700000762939","9.84500026702881","13.6400003433228"
"Philippines","PHL","1990","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.6999969482422","151.8800048828126","118.599998474121","77.5599975585938","120.900001525879","100.0199966430664","95.0599975585938","163.520004272461","129.0800018310546","74.7567437573388","45482286","0","0","116.2671172637722","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Post-demographic dividend","PST","1995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.4516706288959","46.8880257716531","66.8274853349432","56.4922609178692","50.6473476154582","55.035617748197","52.8774930655797","51.6699446236691","71.6992746216972","61.3025170218031","43.1322636674012","484167612","12.7822710179127","20.8154857311858","72.3302655465677","0","0","0","0","6.81885570072335","0","7.25460239921716","0","15.7498081975865","14.8431581279483","14.7360813254973","15.2764413717493","15.1660907905906"
"South Asia","SAS","1996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75.1405550025327","0","0","0","0","0","0","0","0","0","26.8548044624697","476476333","0","0","0","0","0","0","0","3.7999531696825","0","4.02087827377463","0","0","8.75431204522988","0","8.94624830215023","0"
"Saudi Arabia","SAU","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0489999987185001","15.3427000045776","71.7220993041992","47.7294998168945","7.01999998092651","27.2000007629395","17.1700000762939","17.7900009155273","74.3600006103516","50.2900009155273","14.4610998533034","8966123","0","0","23.924153805145","0","0","0","13.7784004211426","3.58200001716614","3.5436999797821","5.07999992370605","5.08500003814697","50.0648994445801","23.7360000610352","24.0648994445801","28.82200050354","29.3458003997803"
"Slovak Republic","SVK","2001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.73499989509583","43.0756988525391","54.9855995178223","48.755199432373","40.9962005615234","49.6319999694824","45.2858009338379","52.8884010314941","68.8022003173828","60.4771995544434","45.5298550262259","2632890","4.11999988555908","6.11999988555908","76.870217503977","0","0","0","0","20.076000213623","0","19.3799991607666","0","0","42.0449981689453","0","38.6570014953613","0"
"Slovenia","SVN","1994","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.1339998245239","47.0400009155273","57.9799995422363","52.3400001525879","36.3600006103516","42.310001373291","39.4599990844727","51.2999992370605","64.2399978637695","57.439998626709","46.4665766467621","938311","0","0","79.8567885164782","0","0","0","0","9.36299991607666","0","8.23999977111816","0","23.0799999237061","21.0359992980957","21.2099990844727","21.4720001220703","22.0300006866455"
"Tanzania","TZA","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76.193000793457","0","0","0","0","0","0","0","0","0","50.5491388000697","20317814","0","0","0","0","0","0","2.70000004768372","1.76800000667572","2.20000004768372","2.5","2.5","0","4.01100015640259","0","4.92500019073486","0"
"World","WLD","1994","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43.1621582185344","0","0","0","0","0","0","0","0","0","39.4484156355855","2499831265","0","0","0","0","0","0","0","5.52529495183667","0","5.78417552795306","0","0","11.8141750155455","0","12.196122484049","0"
"Arab World","ARB","1991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.0990711941605","0","0","0","0","0","0","0","0","0","19.5593714669441","64175144","0","0","0","0","0","0","0","10.7222457256475","0","12.1055624562127","0","0","23.9357001863022","0","26.1619177196863","0"
"Benin","BEN","1999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.6879997253418","0","0","0","0","0","0","0","0","0","45.2908156520402","2639937","0","0","0","0","0","0","0","1.26699995994568","0","0.90200001001358","0","0","1.42999994754791","0","1.05599999427795","0"
"Canada","CAN","1978","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43.3629989624023","71.9758987426758","57.4855995178223","60.402099609375","70.7683029174805","65.6250991821289","47.9394989013672","77.927001953125","62.7406997680664","0","0","15.539999961853","22.2199993133545","61.5184694647999","24.2663993835449","15.3224000930786","19.7600002288818","9.54660034179688","0","7.63679981231689","0","8.37580013275146","13.2941999435425","0","14.6400995254517","0","14.0255002975464"
"Cameroon","CMR","1990","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.5491579435802","9775592","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Congo, Dem. Rep.","COD","1997","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.4940032958984","0","0","0","0","0","0","0","0","0","50.4942654775664","17221312","0","0","0","0","0","0","0","3.02999997138977","0","3.64199995994568","0","0","6.58300018310547","0","7.16300010681152","0"
"Colombia","COL","2015","0","0","0","0","0","0","14.6","13.3","15.3","0","0","0","0","0","0","0","0","0","0","0","0","0","6.52099990844727","51.8655014038086","76.3398971557617","63.7154006958008","45.7140007019043","63.4385986328125","54.5820999145508","58.1741981506348","81.5283966064453","69.4816970825195","42.9002071798821","25773738","14.1700000762939","21.5","71.3545225615731","29.8717994689941","12.0297002792358","20.9449005126953","10.8444004058838","6.21700000762939","6.36399984359741","8.23999977111816","8.29899978637695","22.513500213623","12.8199996948242","12.4081001281738","17.568000793457","16.636999130249"
"Colombia","COL","1980","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.1599998474122","50.0800018310546","36.3199996948242","0","0","0","44.7999992370606","156.8800048828126","95","0","0","0","0","57.113714740799","0","0","0","23","0","15","0","18.20000076293946","0","0","0","0","0"
"Dominica","DMA","1991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.0799999237061","43.9099998474121","33.4599990844727","0","0","0","25.7399997711182","48.6300010681152","37.1500015258789","0","0","0","0","52.9302883112518","0","0","0","10.0100002288818","0","9.85000038146973","0","9.52999973297119","0","0","0","0","0"
"Algeria","DZA","1995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.0579996109009","0","0","0","0","0","0","0","0","0","13.0064850010061","7847493","0","0","0","0","0","0","0","31.3500003814697","0","31.8400001525879","31.8400001525879","0","57.1749992370605","0","55.5519981384277","0"
"Spain","ESP","1992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.11299991607666","25.8701992034912","57.2351989746094","40.9990997314453","39.4310989379883","49.6397018432617","44.5080986022949","34.5999984741211","66.1489028930664","49.8176002502441","35.7889167708174","15886435","11.3999996185303","15.1099996566772","52.3062317905016","0","0","0","0","13.4910001754761","0","17.7000007629395","0","39.6535987854004","27.7520008087158","27.8036994934082","33.0069999694824","33.0808982849121"
"Ethiopia","ETH","1984","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.39999997615814","0","1","0","1.20000004768372","0","0","0","0","0"
"Ghana","GHA","2000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46.8089981079102","64.9000015258789","68.9700012207031","66.8899993896484","54.6500015258789","52.9099998474121","53.7900009155273","72.6999969482422","76.7200012207031","74.6699981689453","48.5946770177871","8233054","0","0","94.7601613549296","0","0","0","10.6700000762939","10.0860004425049","10.0500001907349","10.3599996566772","10.3599996566772","16.6800003051758","16.1350002288818","16.4200000762939","16.261999130249","16.5499992370605"
"Guyana","GUY","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.52899980545044","0","0","0","0","0","0","0","0","0","35.0177010284991","309869","0","0","0","0","0","0","0","9.85400009155273","0","11.8090000152588","0","0","17.6569995880127","0","21.5809993743896","0"
"Heavily indebted poor countries (HIPC)","HPC","2005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72.2119264314088","0","0","0","0","0","0","0","0","0","44.878545607207","216626540","0","0","0","0","0","0","0","5.08989306162432","0","6.13051803907628","0","0","9.78863643826468","0","11.1202170380659","0"
"Hungary","HUN","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.30599999427795","39.1066017150879","51.1263999938965","44.7192993164063","21.9701995849609","27.5344009399414","24.8034992218018","43.7743988037109","57.8428001403809","50.3436012268066","46.1472087605291","4299649","6.88000011444092","9.06999969482422","75.6782152618358","13.4300003051758","11.710000038147","12.5600004196167","10.6632995605469","11.6079998016357","11.6113996505737","11.1700000762939","11.1718997955322","24.6692008972168","27.7929992675781","27.7581996917725","26.4680004119873","26.4153995513916"
"Hungary","HUN","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.84100008010864","45.5806999206543","61.040599822998","52.8471984863281","28.2511005401611","36.1384010314941","32.2901000976563","48.0343017578125","64.3348999023438","55.6959991455078","45.6738072958401","4686095","8.59000015258789","10.9499998092651","74.6628996559029","13.3500003814697","8.85999965667725","11.0500001907349","5.10799980163574","5.11499977111816","5.12060022354126","5.1100001335144","5.1149001121521","12.9033002853394","12.8699998855591","12.942099571228","12.8520002365112","12.9256000518799"
"Jordan","JOR","1986","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.2999992370605","0","12.3999996185303","0","13.3000001907349","0","0","0","0","0"
"Japan","JPN","2003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.90000009536743","45.9320983886719","70.0641021728516","57.6171989440918","44.5","45.2000007629395","44.9000015258789","48.2999992370605","74.0999984741211","60.7999992370605","40.6857987785431","67069090","0","0","65.1821865474517","0","0","0","4.90000009536743","5.46500015258789","5.5","5.25","5.30000019073486","8.60000038146973","11.5640001296997","11.6000003814697","10.1639995574951","10.1000003814697"
"Japan","JPN","1998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.96799993515015","48.124698638916","74.0641021728516","60.7196006774902","47.7999992370605","48.9000015258789","48.2999992370605","50.0999984741211","77.3000030517578","63.2999992370605","40.4800106966172","68028984","0","0","64.8124146134582","0","0","0","4","4.17500019073486","4.19999980926514","4.1100001335144","4.09999990463257","7.30000019073486","8.28499984741211","8.39999961853027","7.74300003051758","7.69999980926514"
"Late-demographic dividend","LTE","1992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48.0390590649252","0","0","0","0","0","0","0","0","0","44.141669690038","990869562","0","0","0","0","0","0","0","5.24379774852329","0","5.12063681349029","3.07856948424838","0","11.6802696329994","0","11.4622626377772","0"
"Monaco","MCO","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.2200012207031","57.0699996948242","47.8899993896484","0","0","0","39.7999992370605","57.189998626709","48.25","0","0","0","0","69.592586453522","0","0","0","8.68000030517578","0","4.57999992370605","0","6.32999992370605","27.9300003051758","0","25.6900005340576","0","26.6499996185303"
"Mexico","MEX","1993","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.0500001907349","34.3470001220703","82.5179977416992","57.5040016174316","35.9420013427734","73.3030014038086","54.5349998474121","35.7599983215332","84.963996887207","59.4129981994629","30.4517032393041","34139184","0","0","42.0884134829556","0","0","0","3.95099997520447","2.8840000629425","2.87899994850159","3.21000003814697","3.21399998664856","6.39499998092651","4.76999998092651","4.85699987411499","5.24599981307983","5.36600017547607"
"Malaysia","MYS","1987","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43.5900001525879","79.7699966430664","61.6699981689453","0","0","0","47.4900016784668","85.620002746582","66.5500030517578","0","0","0","0","55.4660127949629","0","0","0","0","0","0","0","7.32999992370605","0","0","0","0","0"
"New Zealand","NZL","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.84499979019165","59.4178009033203","72.1041030883789","65.5463027954102","59.8667984008789","65.4946975708008","62.6833000183105","61.9644012451172","75.0585021972656","68.2906036376953","46.5984295700888","2286635","21.3899993896484","32.0699996948242","82.5548064924943","13.8500003814697","8.46000003814697","11.1499996185303","4.26300001144409","3.9539999961853","4.08199977874756","4.01999998092651","4.16699981689453","10.9569997787476","11.2189998626709","11.8269996643066","10.8669996261597","11.4130001068115"
"New Zealand","NZL","1961","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57.4900016784668","78.7399978637695","68.3099975585938","27.7299995422363","83.2799987792969","55.4000015258789","0","0","0","0","33.297310216976","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Papua New Guinea","PNG","1991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68.8779983520508","0","0","0","0","0","0","0","0","0","48.5497983672561","1859569","0","0","0","0","0","0","0","4.00299978256226","0","3.03999996185303","0","0","6.49399995803833","0","5.46700000762939","0"
